#Policy: dynamic;;;;#Policy: static;;;#Policy: static,1;;
#Resolution: 256;;;;#Resolution: 256;;;#Resolution: 256;;
1;11179;8.94585E-04;1;11194;8.93387E-04;1.00000E+00;11221;0.000891237;1
2;22196;4.50547E-04;0.503638;22175;4.50968E-04;5.04785E-01;19246;0.000519601;0.583011028
4;43583;2.29448E-04;0.256485409;43782;2.28410E-04;2.55667E-01;37561;0.000266236;0.298726377
8;79737;1.25414E-04;0.14019238;80831;1.23716E-04;1.38480E-01;34997;0.00028574;0.320610567
10;94980;1.05286E-04;0.117692561;98224;1.01809E-04;1.13958E-01;35025;0.000285516;0.320359231
20;170529;5.86411E-05;0.065551177;183193;5.45875E-05;6.11017E-02;38001;0.000263158;0.29527275
40;191805;5.21364E-05;0.058279985;253673;3.94209E-05;4.41252E-02;43367;0.000230595;0.258735892
#Policy: dynamic;;;;#Policy: static;;;#Policy: static,1;;
#Resolution: 512;;;;#Resolution: 512;;;#Resolution: 512;;
1;2780;3.59775E-03;1;2785;3.59192E-03;1;2789;0.00358631;1
2;5539;1.80555E-03;0.501855326;5523;1.81069E-03;0.504100871;5087;0.00196583;0.548148375
4;10957;9.12724E-04;0.253693003;10953;9.13013E-04;0.254185227;10339;0.000967273;0.269712602
8;20531;4.87076E-04;0.135383504;20548;4.86680E-04;0.135492995;12245;0.000816675;0.227720136
10;25032;3.99504E-04;0.111042735;25238;3.96231E-04;0.110311755;12554;0.00079662;0.222128037
20;48887;2.04555E-04;0.056856369;49530;2.01900E-04;0.056209492;13473;0.000742259;0.206970117
40;74295;1.34600E-04;0.037412272;82246;1.21587E-04;0.033850141;16174;0.000618297;0.172404784
#Policy: dynamic;;;;#Policy: static;;;#Policy: static,1;;
#Resolution: 1024;;;;#Resolution: 1024;;;#Resolution: 1024;;
1;692;1.44710E-02;1;694;1.44245E-02;1;693;0.0144364;1
2;1379;7.25246E-03;0.501171999;1384;7.22794E-03;0.501087733;1296;0.00771861;0.534663074
4;2749;3.63856E-03;0.251438049;2756;3.62965E-03;0.251630906;2608;0.00383493;0.265643097
8;5188;1.92757E-03;0.133202267;5162;1.93756E-03;0.13432424;3147;0.00317772;0.220118589
10;6340;1.57736E-03;0.109001451;6380;1.56757E-03;0.108674131;3198;0.00312758;0.216645424
20;12558;7.96308E-04;0.055027849;12679;7.88724E-04;0.054679469;3379;0.00296032;0.205059433
40;21436;4.66518E-04;0.032238131;22070;4.53113E-04;0.031412735;4808;0.00208013;0.144089247
#Policy: dynamic;;;;#Policy: static;;;#Policy: static,1;;
#Resolution: 2048;;;;#Resolution: 2048;;;#Resolution: 2048;;
1;173;5.79344E-02;1;174;5.77771E-02;1;174;0.0577737;1
2;345;2.90191E-02;0.500895841;346;2.89723E-02;0.501449536;335;0.0299007;0.517548642
4;687;1.45568E-02;0.251263498;688;1.45363E-02;0.251592759;655;0.0152838;0.264545979
8;1288;7.76727E-03;0.134070086;1296;7.72014E-03;0.133619375;784;0.0127578;0.220823662
10;1590;6.28964E-03;0.10856486;1594;6.27710E-03;0.10864339;736;0.0136034;0.23546008
20;3167;3.15855E-03;0.054519422;3173;3.15249E-03;0.054562967;777;0.0128798;0.222935349
40;5463;1.83064E-03;0.031598498;5434;1.84045E-03;0.031854316;944;0.0105955;0.183396597
