#threads;iterations;rtperit
#Policy: dynamic
1;11179;0.000894585
2;22196;0.000450547
4;43583;0.000229448
8;79737;0.000125414
10;94980;0.000105286
20;170529;5.86411e-05
40;191805;5.21364e-05
#Policy: static
1;11194;0.000893387
2;22175;0.000450968
4;43782;0.00022841
8;80831;0.000123716
10;98224;0.000101809
20;183193;5.45875e-05
40;253673;3.94209e-05
#Policy: static,1
1;11221;0.000891237
2;19246;0.000519601
4;37561;0.000266236
8;34997;0.00028574
10;35025;0.000285516
20;38001;0.000263158
40;43367;0.000230595
#Policy: dynamic,innerLen
#Resolution: 256
1;11198;0.000893033;10.0002
2;22259;0.000449261;10.0001
4;43826;0.000228176;10
8;80455;0.000124294;10.0001
10;97003;0.00010309;10.0001
20;165449;6.04417e-05;10
40;235894;4.2392e-05;10
